epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,421.248,1.06693,1.59149,0.61737,0.89167,0.91008,0.89651,0.90976,0.48355,0.88755,0.87122,0.87758,0.423,1.22961,2.18669,0.63641,0.93883,0.00181586,0.00181586,0.00181586
95,425.349,1.08012,1.57232,0.61455,0.89521,0.91478,0.89688,0.91811,0.50356,0.88669,0.86202,0.8735,0.43098,1.20854,2.33618,0.63012,0.93698,0.00181388,0.00181388,0.00181388
96,429.791,1.08639,1.64379,0.62461,0.91378,0.92508,0.89927,0.9254,0.51423,0.90591,0.87581,0.89085,0.44077,1.19275,2.22991,0.62947,0.93384,0.0018119,0.0018119,0.0018119
97,433.89,1.11046,1.66378,0.61892,0.90644,0.90848,0.89306,0.9167,0.50661,0.88652,0.86508,0.87666,0.42444,1.25672,2.07497,0.637,0.9453,0.00180992,0.00180992,0.00180992
98,437.996,1.1102,1.66722,0.62261,0.90247,0.91055,0.90131,0.92011,0.49802,0.89662,0.88156,0.89114,0.43763,1.26345,2.07266,0.64877,0.94382,0.00180794,0.00180794,0.00180794
99,442.297,1.11615,1.66046,0.62472,0.9032,0.92637,0.90174,0.91872,0.48467,0.90145,0.8716,0.88164,0.41565,1.23536,2.08848,0.63395,0.93503,0.00180596,0.00180596,0.00180596
100,446.636,1.13538,1.7237,0.62914,0.90978,0.91188,0.88961,0.90014,0.46011,0.88862,0.86355,0.86435,0.37703,1.23903,2.33998,0.63827,0.93669,0.00180398,0.00180398,0.00180398
101,450.782,1.11483,1.68895,0.62369,0.90466,0.92796,0.90344,0.92098,0.4837,0.90981,0.88041,0.88593,0.41281,1.22779,2.09547,0.64251,0.93303,0.001802,0.001802,0.001802
102,454.919,1.12157,1.71724,0.61947,0.89359,0.92266,0.90075,0.91452,0.46867,0.90948,0.88191,0.88479,0.4156,1.25077,2.1155,0.6579,0.94057,0.00180002,0.00180002,0.00180002
103,459.115,1.05954,1.60855,0.60541,0.89989,0.89518,0.8739,0.87673,0.43576,0.87847,0.85588,0.84735,0.37432,1.27437,2.42336,0.65768,0.95273,0.00179804,0.00179804,0.00179804
104,463.256,1.10405,1.65242,0.61979,0.89767,0.91689,0.88885,0.90621,0.48376,0.89169,0.86547,0.86575,0.39746,1.27513,2.18738,0.64167,0.94581,0.00179606,0.00179606,0.00179606
