epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,286.392,1.14507,0.60484,0.91177,0.92154,0.89958,0.92469,0.52327,1.18431,0.59034,0.93663,0.00178814,0.00178814,0.00178814
109,288.892,1.09835,0.58776,0.91109,0.91379,0.88976,0.91197,0.49885,1.22624,0.59592,0.94625,0.00178616,0.00178616,0.00178616
110,291.52,1.06957,0.56496,0.89662,0.92495,0.90111,0.92639,0.50243,1.21626,0.58851,0.94492,0.00178418,0.00178418,0.00178418
111,294.171,1.05965,0.57631,0.89734,0.91182,0.88885,0.91111,0.4565,1.24587,0.6082,0.95008,0.0017822,0.0017822,0.0017822
112,296.631,1.07271,0.5668,0.89845,0.9182,0.90355,0.92928,0.49765,1.26281,0.60332,0.95054,0.00178022,0.00178022,0.00178022
113,299.402,1.06607,0.56352,0.89525,0.91236,0.8969,0.9192,0.47616,1.23022,0.59408,0.94668,0.00177824,0.00177824,0.00177824
114,301.869,1.10445,0.57697,0.90412,0.90607,0.88425,0.89788,0.44655,1.2623,0.60993,0.95465,0.00177626,0.00177626,0.00177626
115,304.441,1.06066,0.55512,0.89116,0.9209,0.88355,0.91361,0.49536,1.26736,0.60626,0.95431,0.00177428,0.00177428,0.00177428
116,306.983,1.12988,0.59692,0.92455,0.91591,0.88508,0.91434,0.5184,1.23007,0.59789,0.94803,0.0017723,0.0017723,0.0017723
117,309.555,1.16275,0.60723,0.90435,0.90903,0.88846,0.92257,0.48372,1.29202,0.62036,0.95687,0.00177032,0.00177032,0.00177032
118,312.059,1.15417,0.60501,0.9135,0.91868,0.8992,0.93164,0.5007,1.28044,0.62331,0.95281,0.00176834,0.00176834,0.00176834
119,314.573,1.17866,0.6264,0.92531,0.91462,0.90878,0.93172,0.50669,1.20474,0.59766,0.94001,0.00176636,0.00176636,0.00176636
120,317.124,1.09886,0.59972,0.9101,0.90724,0.89225,0.91143,0.47274,1.24426,0.60572,0.95174,0.00176438,0.00176438,0.00176438
121,319.81,1.11449,0.58785,0.91512,0.93003,0.90801,0.93471,0.5086,1.2854,0.59301,0.95243,0.0017624,0.0017624,0.0017624
122,322.397,1.10122,0.58029,0.89501,0.93364,0.90601,0.93257,0.49778,1.2689,0.59563,0.95256,0.00176042,0.00176042,0.00176042
123,325.084,1.09405,0.5819,0.8952,0.9033,0.88501,0.89799,0.42587,1.28859,0.62451,0.96515,0.00175844,0.00175844,0.00175844
124,327.679,1.12473,0.59427,0.91608,0.91486,0.90192,0.91744,0.48333,1.19393,0.59671,0.9423,0.00175646,0.00175646,0.00175646
125,330.208,1.08999,0.56861,0.89109,0.90511,0.89574,0.9098,0.49271,1.27491,0.59603,0.95178,0.00175448,0.00175448,0.00175448
126,332.887,1.11,0.56742,0.91068,0.89465,0.87557,0.89002,0.47576,1.2476,0.59885,0.95241,0.0017525,0.0017525,0.0017525
