epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,808.489,1.16582,1.69628,0.64666,0.92136,0.92812,0.86425,0.93008,0.59796,0.9275,0.81036,0.88161,0.34675,1.32736,2.02911,0.69382,0.87753,0.00182774,0.00182774,0.00182774
89,817.459,1.19196,1.75564,0.66694,0.93916,0.93052,0.87876,0.93519,0.66779,0.90933,0.83952,0.90654,0.40859,1.06359,1.74091,0.64811,0.86269,0.00182576,0.00182576,0.00182576
90,826.06,1.20751,1.75123,0.66631,0.93041,0.9365,0.86199,0.92535,0.55431,0.91986,0.83096,0.88465,0.33782,1.49609,2.02766,0.74863,0.89307,0.00182378,0.00182378,0.00182378
91,834.898,1.20795,1.81856,0.68051,0.93481,0.945,0.85525,0.92733,0.59568,0.91761,0.83152,0.88576,0.37174,1.31882,1.83196,0.68285,0.87682,0.0018218,0.0018218,0.0018218
92,843.518,1.21225,1.81234,0.67332,0.92754,0.9276,0.88009,0.93264,0.58475,0.91785,0.80884,0.87697,0.34459,1.35959,2.03438,0.71563,0.87854,0.00181982,0.00181982,0.00181982
93,852.451,1.21503,1.82782,0.66847,0.92738,0.94042,0.85747,0.92953,0.55458,0.91456,0.80317,0.86039,0.31285,1.48511,2.19485,0.73692,0.89315,0.00181784,0.00181784,0.00181784
94,861.173,1.19883,1.85081,0.67586,0.93952,0.93144,0.88009,0.93429,0.60348,0.93065,0.81971,0.8936,0.37301,1.26634,1.81713,0.6868,0.87236,0.00181586,0.00181586,0.00181586
95,870.342,1.13708,1.70565,0.63609,0.92002,0.94298,0.86059,0.92308,0.56153,0.93251,0.84399,0.90737,0.36827,1.40037,1.82246,0.69059,0.88104,0.00181388,0.00181388,0.00181388
96,878.848,1.11294,1.64792,0.61621,0.91013,0.95234,0.8589,0.92753,0.57546,0.93792,0.82127,0.89969,0.36498,1.32632,1.77681,0.67444,0.87622,0.0018119,0.0018119,0.0018119
97,887.694,1.17188,1.74051,0.63476,0.92845,0.91793,0.88566,0.9364,0.59456,0.93782,0.81899,0.90494,0.38603,1.31283,1.88852,0.6668,0.87786,0.00180992,0.00180992,0.00180992
98,896.322,1.12081,1.664,0.82161,0.91553,0.95246,0.8613,0.92851,0.59569,0.93605,0.82788,0.89634,0.35166,1.29971,1.95941,0.67659,0.8761,0.00180794,0.00180794,0.00180794
99,905.614,1.13244,1.70514,0.64183,0.91371,0.94526,0.86652,0.91494,0.60225,0.91228,0.82354,0.87584,0.35027,1.2566,1.86332,0.65218,0.87651,0.00180596,0.00180596,0.00180596
100,914.419,1.15568,1.7393,0.63734,0.93283,0.94989,0.85777,0.92321,0.58348,0.90831,0.80687,0.86632,0.32489,1.35496,1.98712,0.66435,0.87785,0.00180398,0.00180398,0.00180398
101,923.182,1.20677,1.77135,0.6616,0.9253,0.95544,0.86199,0.92854,0.588,0.91131,0.819,0.86345,0.33556,1.31102,1.92558,0.64942,0.87358,0.001802,0.001802,0.001802
102,931.894,1.16034,1.68798,0.81319,0.91109,0.93307,0.86425,0.92418,0.5812,0.92373,0.8552,0.90268,0.44187,1.32947,1.85484,0.67929,0.87302,0.00180002,0.00180002,0.00180002
103,940.95,1.20472,1.75437,0.66604,0.925,0.92859,0.87557,0.93027,0.60635,0.9284,0.85077,0.90712,0.42584,1.23441,1.81794,0.69308,0.87196,0.00179804,0.00179804,0.00179804
104,950.054,1.17199,1.74747,0.68926,0.92268,0.93882,0.86797,0.93039,0.62891,0.9133,0.83937,0.89893,0.40489,1.16062,1.69606,0.65097,0.86395,0.00179606,0.00179606,0.00179606
