epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,321.811,1.11131,0.58345,0.89569,0.91783,0.90417,0.93736,0.63285,1.10232,0.58243,0.92523,0.00176042,0.00176042,0.00176042
123,325.734,1.1128,0.57808,0.88467,0.92892,0.90823,0.93618,0.62858,1.10624,0.57178,0.92881,0.00175844,0.00175844,0.00175844
124,328.16,1.09787,0.58913,0.90808,0.93283,0.91981,0.94011,0.64435,1.08437,0.56843,0.92466,0.00175646,0.00175646,0.00175646
125,330.794,1.16876,0.59134,0.90098,0.92199,0.92165,0.9394,0.6422,1.08517,0.57535,0.92591,0.00175448,0.00175448,0.00175448
126,334.583,1.1228,0.58692,0.8981,0.89172,0.8806,0.92441,0.6279,1.10812,0.60398,0.92992,0.0017525,0.0017525,0.0017525
127,337.367,1.11876,0.59087,0.90001,0.90028,0.88312,0.9207,0.63323,1.07558,0.596,0.92318,0.00175052,0.00175052,0.00175052
128,340.987,1.16561,0.59896,0.9085,0.90697,0.9013,0.93316,0.63248,1.10631,0.59531,0.92585,0.00174854,0.00174854,0.00174854
129,343.576,1.11589,0.57783,0.90415,0.90371,0.90303,0.93359,0.63829,1.09983,0.5905,0.92951,0.00174656,0.00174656,0.00174656
130,346.575,1.16152,0.59265,0.89641,0.86684,0.82814,0.88469,0.59185,1.13001,0.63219,0.93906,0.00174458,0.00174458,0.00174458
131,350.29,1.12668,0.5975,0.90425,0.88778,0.85887,0.90701,0.57419,1.25752,0.64888,0.95747,0.0017426,0.0017426,0.0017426
132,352.872,1.14639,0.58483,0.89291,0.8875,0.87186,0.91785,0.63875,1.05866,0.60737,0.91459,0.00174062,0.00174062,0.00174062
133,355.354,1.15732,0.60701,0.91994,0.88902,0.88312,0.92371,0.63974,1.07387,0.60424,0.91792,0.00173864,0.00173864,0.00173864
134,357.878,1.18683,0.59269,0.90364,0.91211,0.89849,0.93384,0.5842,1.29653,0.62255,0.96344,0.00173666,0.00173666,0.00173666
135,360.565,1.16561,0.59484,0.90124,0.9079,0.90475,0.93481,0.66803,0.99593,0.5646,0.90931,0.00173468,0.00173468,0.00173468
136,362.977,1.12669,0.5937,0.90586,0.90297,0.90346,0.93285,0.65624,1.03671,0.56669,0.91312,0.0017327,0.0017327,0.0017327
137,365.649,1.0707,0.56289,0.88781,0.92455,0.91241,0.94185,0.65325,1.06847,0.55756,0.91875,0.00173072,0.00173072,0.00173072
138,368.228,1.07791,0.55476,0.89787,0.93269,0.92294,0.94446,0.66989,1.0324,0.53903,0.91574,0.00172874,0.00172874,0.00172874
139,370.815,1.1339,0.57084,0.89753,0.93423,0.91618,0.94219,0.64113,1.13827,0.56007,0.93633,0.00172676,0.00172676,0.00172676
140,373.376,1.12996,0.57459,0.89548,0.92692,0.91146,0.94042,0.65584,1.06285,0.55502,0.92322,0.00172478,0.00172478,0.00172478
141,376.857,1.12003,0.59911,0.91709,0.92547,0.91602,0.94142,0.66057,1.04482,0.55428,0.91769,0.0017228,0.0017228,0.0017228
142,379.441,1.07894,0.57391,0.89675,0.92862,0.91905,0.93962,0.64239,1.11009,0.56105,0.92836,0.00172082,0.00172082,0.00172082
143,381.815,1.03805,0.55225,0.8906,0.92708,0.92121,0.94058,0.66059,1.03215,0.53674,0.91435,0.00171884,0.00171884,0.00171884
144,384.375,1.10255,0.59103,0.90638,0.9017,0.89307,0.92356,0.61592,1.1348,0.62134,0.92964,0.00171686,0.00171686,0.00171686
145,387.068,1.1071,0.56118,0.89025,0.8588,0.82987,0.88287,0.57415,1.18225,0.80336,0.94362,0.00171488,0.00171488,0.00171488
146,389.712,1.05412,0.55701,0.89868,0.77211,0.7368,0.79985,0.488,1.34323,0.9543,0.97082,0.0017129,0.0017129,0.0017129
147,392.417,1.13603,0.57121,0.89691,0.8535,0.83896,0.88629,0.56796,1.21597,0.82841,0.94159,0.00171092,0.00171092,0.00171092
148,395.105,1.10972,0.56596,0.89678,0.89605,0.88312,0.91937,0.64739,1.02663,0.7073,0.90954,0.00170894,0.00170894,0.00170894
149,397.591,1.10021,0.58117,0.89908,0.89218,0.88918,0.91519,0.64472,1.03062,0.72267,0.90965,0.00170696,0.00170696,0.00170696
150,399.967,1.09252,0.5836,0.90549,0.92173,0.91082,0.9348,0.66649,1.00898,0.54885,0.90788,0.00170498,0.00170498,0.00170498
151,402.656,1.08644,0.56155,0.90032,0.92279,0.9054,0.93257,0.65312,1.03775,0.55581,0.91537,0.001703,0.001703,0.001703
152,405.447,1.10231,0.55612,0.89287,0.89632,0.86074,0.91854,0.63741,1.07142,0.61483,0.91746,0.00170102,0.00170102,0.00170102
153,408.265,1.09445,0.57251,0.90104,0.89664,0.86061,0.91807,0.62916,1.07817,0.62249,0.92023,0.00169904,0.00169904,0.00169904
154,410.69,1.04513,0.5508,0.89385,0.9293,0.90477,0.93586,0.65067,1.04124,0.56317,0.91433,0.00169706,0.00169706,0.00169706
155,413.073,1.06504,0.55435,0.88799,0.93341,0.9163,0.93849,0.66583,1.00861,0.54528,0.91095,0.00169508,0.00169508,0.00169508
156,415.703,1.06025,0.54941,0.89309,0.93028,0.91818,0.94067,0.66372,1.03341,0.55054,0.9111,0.0016931,0.0016931,0.0016931
157,418.154,1.08588,0.56311,0.89364,0.91053,0.9031,0.93352,0.65754,1.0247,0.55934,0.90965,0.00169112,0.00169112,0.00169112
158,420.597,1.05821,0.561,0.89149,0.93125,0.92058,0.94154,0.621,1.17674,0.57186,0.93624,0.00168914,0.00168914,0.00168914
159,423.302,1.02139,0.55068,0.89054,0.93057,0.92727,0.9422,0.6291,1.13731,0.55215,0.93066,0.00168716,0.00168716,0.00168716
160,425.869,1.08271,0.56176,0.9024,0.9297,0.9274,0.94338,0.63103,1.14899,0.57975,0.92575,0.00168518,0.00168518,0.00168518
161,428.256,1.06255,0.56128,0.89944,0.93684,0.92471,0.9452,0.63091,1.16264,0.55787,0.93992,0.0016832,0.0016832,0.0016832
162,430.897,1.11718,0.55431,0.89345,0.92638,0.91515,0.9435,0.63053,1.17357,0.57234,0.93779,0.00168122,0.00168122,0.00168122
163,433.376,1.15253,0.5784,0.90063,0.9177,0.9039,0.93643,0.60767,1.23269,0.59002,0.94607,0.00167924,0.00167924,0.00167924
164,436.071,1.08566,0.56111,0.89625,0.93311,0.92251,0.94394,0.65776,1.08,0.542,0.92702,0.00167726,0.00167726,0.00167726
165,438.614,1.14796,0.56523,0.89857,0.93006,0.91536,0.93868,0.63576,1.13801,0.55264,0.9401,0.00167528,0.00167528,0.00167528
166,441.103,1.12134,0.56916,0.90236,0.92399,0.92857,0.94062,0.60917,1.2314,0.59291,0.94753,0.0016733,0.0016733,0.0016733
167,443.703,1.20684,0.58952,0.90475,0.92043,0.91212,0.93184,0.58377,1.29892,0.61926,0.96994,0.00167132,0.00167132,0.00167132
168,446.228,1.17992,0.60035,0.91812,0.90133,0.91126,0.93166,0.61862,1.14082,0.59147,0.94246,0.00166934,0.00166934,0.00166934
169,448.706,1.15449,0.59418,0.9195,0.90856,0.9291,0.94055,0.64548,1.11939,0.57745,0.92895,0.00166736,0.00166736,0.00166736
170,451.885,1.16445,0.61128,0.90737,0.92214,0.92165,0.94224,0.66368,1.01649,0.5628,0.90934,0.00166538,0.00166538,0.00166538
171,454.387,1.11862,0.57663,0.90787,0.91782,0.91602,0.93798,0.65006,1.05217,0.55956,0.92009,0.0016634,0.0016634,0.0016634
172,456.88,1.09137,0.56302,0.89506,0.9196,0.92684,0.94296,0.66851,1.02894,0.53824,0.91648,0.00166142,0.00166142,0.00166142
173,459.264,1.09158,0.55928,0.89731,0.89956,0.90721,0.93276,0.65968,1.03942,0.56366,0.91794,0.00165944,0.00165944,0.00165944
174,461.658,1.08562,0.58349,0.90099,0.91234,0.92078,0.94022,0.63189,1.11872,0.56106,0.92578,0.00165746,0.00165746,0.00165746
175,464.064,1.05772,0.55546,0.89209,0.9296,0.92771,0.94322,0.64744,1.08344,0.55576,0.92529,0.00165548,0.00165548,0.00165548
176,466.571,1.00949,0.54205,0.88506,0.92688,0.92641,0.93945,0.63733,1.10714,0.54675,0.93056,0.0016535,0.0016535,0.0016535
